Task,Model,Accuracy,Balanced Accuracy,F1-Score,Precision,Sensitivity,Specificity,ROC AUC,CK Value,MCC,Log Loss,iou
M1_CT_Classification,DenseNet-121,0.9518072289156626,0.8915343915343916,0.9502845913158217,0.95039442205315,0.9523809523809523,0.9514563106796117,0.9962157736166392,0.916378061834897,0.9168310907064942,0.12202727842751172,
M1_CT_Classification,EfficientNet-B0,0.9879518072289156,0.9894179894179894,0.9881717020884897,0.989156626506024,0.9682539682539683,1.0,0.9984943710818083,0.9794146825396826,0.9796715881222295,0.053364779149415675,
M1_CT_Classification,ResNet-50,0.963855421686747,0.9417989417989417,0.9639885810084431,0.9644816197188377,0.9365079365079365,0.9805825242718447,0.9983366949825014,0.9379864267480231,0.9381623916227106,0.08107839540280165,
M1_CT_Classification,MobileNet-V2,0.9698795180722891,0.947089947089947,0.970166069684142,0.9706363654959397,0.9523809523809523,0.9805825242718447,0.9989089130070532,0.9483927128023378,0.9484552349874162,0.049112124789588624,
M1_CT_Classification,VGG-16,0.927710843373494,0.8439153439153438,0.9261494507441531,0.92524328081557,0.9206349206349206,0.9320388349514563,0.9916072055211136,0.8750940556809631,0.8753288102858287,0.17491678444189146,
M2_LIDC_Segmentation,DenseNet-121,0.9868106245994568,0.891108512878418,0.6022211313247681,0.4854603409767151,0.7929341793060303,0.9892829060554504,,,0.614534854888916,0.26933591767233245,0.43084147572517395
M2_LIDC_Segmentation,EfficientNet-B0,0.9019879698753357,0.5675949454307556,0.05455050617456436,0.031046077609062195,0.22456347942352295,0.9106264114379883,,,0.05239172279834747,0.5858208038369004,0.028040053322911263
M2_LIDC_Segmentation,ResNet-50,0.9915000796318054,0.862724781036377,0.6840049028396606,0.6429792046546936,0.7306227684020996,0.9948267340660095,,,0.6811407208442688,0.31164162012995505,0.5197624564170837
M2_LIDC_Segmentation,MobileNet-V2,0.8491432070732117,0.7474218606948853,0.09694190323352814,0.05242222547531128,0.6430726647377014,0.8517709970474243,,,0.1526782065629959,0.6318713925322708,0.05094006657600403
M2_LIDC_Segmentation,VGG-16,0.9389257431030273,0.9223040342330933,0.2718062996864319,0.15991000831127167,0.905252993106842,0.9393551349639893,,,0.3660278022289276,0.5314026073533662,0.1572776883840561
M3_Rads_Classification,DenseNet-121,0.6401515151515151,0.5626325639426076,0.7630922693266833,0.8895348837209303,0.6681222707423581,0.45714285714285713,0.5175296319401123,0.07412876550502057,0.08915050596972796,0.9950118473965825,
M3_Rads_Classification,EfficientNet-B0,0.6060606060606061,0.6155957579538365,0.7263157894736842,0.9139072847682119,0.6026200873362445,0.6285714285714286,0.6393013100436682,0.11892689814517676,0.1584513561548109,1.052730232027578,
M3_Rads_Classification,ResNet-50,0.6553030303030303,0.45034310667498445,0.7858823529411765,0.8520408163265306,0.7292576419213974,0.17142857142857143,0.588271990018715,-0.07097004279600583,-0.07701561935904278,1.1864637288426567,
M3_Rads_Classification,MobileNet-V2,0.625,0.4570804741110418,0.7602905569007264,0.8532608695652174,0.6855895196506551,0.22857142857142856,0.4857142857142857,-0.05557350565428121,-0.06334068706168329,1.1312248511389635,
M3_Rads_Classification,VGG-16,0.678030303030303,0.39082969432314413,0.8081264108352144,0.8364485981308412,0.7816593886462883,0.0,0.6766063630692452,-0.18479408658922902,-0.18897066722607705,0.48338208353617373,
